year,CZE,DNK,FIN,FRA,GBR,ITA,JPN,KOR,NLD,NOR,RUS,SGP,TWN,USA
1920,,,,,22701.882867099997,,,,,,,,,40492.96875
1919,,,,,,,,,,,,,,46402.8085938
1918,,,,,,,,,,,,,,47173.3671875
1917,,,,,,,,,,,,,,51620.0390625
1916,,,,,,,,,,,,,,60161.91796880001
1915,,,,,,,,,,,,,,58641.7890625
1914,,,,,40516.0899608,,,,,,,,,54922.96484380001
1913,,,,,37915.914428300006,,,,,,,,,54873.12109380001
1912,,,,,37413.981708,,,,,,,,,
1911,,,,,36732.2969459,,,,,,,,,
1910,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,
