Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Average Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[National income]=[Net domestic product]+[Net foreign income];;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[National income]=[Net domestic product]+[Net foreign income];;;;;;;
Variable Unit;.;.;.;"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";population;"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;From 1970 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2015 from the UN SNA main tables. Until 2014, we use the GDP growth rates from the UN SNA main tables.  Between 2016 and 2016, we use the GDP growth rates from the IMF World Economic Outlook. After 2016, we use the GDP growth rates from the IMF World Economic Outlook (forecast).;Calculated as GDP minus CFC. See subcomponents series for additional information.;From 2005 to 2017, we use NFI as a % of GDP from the IMF.;From 1970 to 2004, we computed net foreign income based on its share in GDP in 2005.;Total 2017 population estimated by extending past year observed population growth rate. Data on other years comes from the UN World Population Prospects (2015);From 1970 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2015 from the UN SNA main tables. Until 2014, we use the GDP growth rates from the UN SNA main tables.  Between 2016 and 2016, we use the GDP growth rates from the IMF World Economic Outlook. After 2016, we use the GDP growth rates from the IMF World Economic Outlook (forecast).;Calculated as GDP minus CFC. See subcomponents series for additional information.;From 2005 to 2017, we use NFI as a % of GDP from the IMF.;From 1970 to 2004, we computed net foreign income based on its share in GDP in 2005.;From 1970 to 2015, we use the GDP deflator from the UN SNA. In 2016, we use the GDP deflator from the IMF World Economic Outlook. In 2017, we use the CPI from the World Bank.;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;
Sources;.;.;.;WID.world computations;"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);"WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018)); value from the next year as a % of GDP";WID.world computations using:  https://esa.un.org/unpd/wpp/ (UN World Population Prospects (2015).);WID.world computations;"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);"WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018));  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018)); value from the next year as a % of GDP";"WID.world computations using:  http://data.worldbank.org/ (World Bank);  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2017/01/weodata/index.aspx (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.worldbank.org/ (World Bank);;WID.world computations using:  http://data.worldbank.org/ (World Bank);;WID.world computations using:  http://data.worldbank.org/ (World Bank);
Variable Code;country;year;perc;aconfc999i;agdpro999i;andpro999i;annfin999i;anninc999i;npopul999i;mconfc999i;mgdpro999i;mndpro999i;mnnfin999i;mnninc999i;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;PW;2017;p0p100;1943.1854248;14499.4111328;12556.2255859;-1371.88928223;11184.3359375;21720.0;42205988.0;314927200.0;272721216.0;-29797434.0;242923776.0;1.0;1.1628903151;1.1267774105;0.883066535;1.0;0.2710683644;0.1479480565
;PW;2016;p0p100;1891.30871582;14643.09375;12751.7851562;-1375.90466309;11375.8798828;21503.0;40668812.0;314870432.0;274201632.0;-29586078.0;244615552.0;0.9873576164;1.1605421305;;0.8875928521;1.0;0.2660139203;
;PW;2015;p0p100;1833.47387695;14729.1796875;12895.7050781;-1385.69689941;11510.0078125;21288.0;39030992.0;313554784.0;274523776.0;-29498716.0;245025056.0;0.9593085647;1.1360704899;;0.8733801246;1.0;0.2568852901;
