Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;HU;2011;p0p100;;;;;;;;17722606.7478;;;;;;;
;HU;2010;p0p100;;;;;;;;17784504.0188;;;;;;;
;HU;2009;p0p100;;;;;;;;18498264.3435;;;;;;;
;HU;2008;p0p100;2289178.75171;;3081257.0;;;;;19541812.8891;26303471.3704;;;;;;
;HU;2008;p99p100;22066379.7497;;29701563.0683;1.929782033;;1.9297819138;15391150.0;;;0.09639;;0.09639;;11434649.0;
;HU;2008;p99.9p100;69230188.4538;;93184511.0941;2.0544230938;;2.0544230938;45357996.0;;;0.03024;;0.03024;;33698116.0;
;HU;2008;p99.99p100;229175836.629;;308472918.647;2.0845506191;;2.0845506191;147980544.0;;;0.01001;;0.01001;;109940160.0;
;HU;2008;p90p100;7347044.04174;;9889193.17291;1.9926438332;;1.9926438332;4962850.5;;;0.32095;;0.32095;;3687083.5;
;HU;2008;p90p95;;;;;;;4962850.5;;;0.09616;;0.09616;;3687083.5;
;HU;2008;p95p99;;;;;;;7244504.5;;;0.1284;;0.1284;;5382208.0;
;HU;2008;p99.5p99.9;;;;;;;21116290.0;;;0.03734;;0.03734;;15688066.0;
;HU;2008;p99.9p99.99;;;;;;;45357996.0;;;0.02023;;0.02023;;33698116.0;
;HU;2008;p99p99.5;;;;;;;15391150.0;;;0.02881;;0.02881;;11434649.0;
;HU;2008;p95p100;10291548.5719;;13852525.0832;1.9121425152;;1.9121425152;7244504.5;;;0.22479;;0.22479;;5382208.0;
;HU;2008;p99.5p100;30939742.045;;41645195.5459;1.9721833467;;1.9721833467;21116290.0;;;0.06758;;0.06758;;15688066.0;
;HU;2007;p0p100;2303940.09397;;3099583.0;;;;;19667562.9494;26459561.1357;;;;;;
;HU;2007;p99p100;24122760.7532;;32453317.4016;1.9901094437;;1.9901094437;16307303.0;;;0.1047;;0.1047;;12121324.0;
;HU;2007;p99.9p100;77532799.9797;;104307984.999;2.058578968;;2.058578968;50669896.0;;;0.03365;;0.03365;;37663264.0;
;HU;2007;p99.99p100;253819186.047;;341473129.533;2.0621278286;;2.0621278286;165592608.0;;;0.01102;;0.01102;;123086056.0;
;HU;2007;p90p100;7704386.88533;;10365020.6347;2.0432977676;;2.0432977676;5072692.0;;;0.3344;;0.3344;;3770564.75;
;HU;2007;p90p95;;;;;;;5072692.0;;;0.09765;;0.09765;;3770564.75;
;HU;2007;p95p99;;;;;;;7411356.5;;;0.13205;;0.13205;;5508909.0;
;HU;2007;p99.5p99.9;;;;;;;22697724.0;;;0.04043;;0.04043;;16871366.0;
;HU;2007;p99.9p99.99;;;;;;;50669896.0;;;0.02263;;0.02263;;37663264.0;
;HU;2007;p99p99.5;;;;;;;16307303.0;;;0.03062;;0.03062;;12121324.0;
;HU;2007;p95p100;10909311.3982;;14676734.1043;1.9803034067;;1.9803034067;7411356.5;;;0.23675;;0.23675;;5508909.0;
;HU;2007;p99.5p100;34135767.5611;;45924216.9973;2.0232961178;;2.0232961178;22697724.0;;;0.07408;;0.07408;;16871366.0;
;HU;2006;p0p100;2346011.99595;;3226617.25;;;;;19995018.7099;27500401.7008;;;;;;
;HU;2006;p99p100;23601482.5341;;32460597.3037;2.0764448643;;2.0764448643;15632776.0;;;0.1006;;0.1006;;11366294.0;
;HU;2006;p99.9p100;82953229.2149;;114090772.251;2.3362579346;;2.336258173;48834832.0;;;0.03536;;0.03536;;35506880.0;
;HU;2006;p99.99p100;316025768.988;;434650035.644;2.3909006119;;2.3909006119;181793440.0;;;0.01347;;0.01347;;132178544.0;
;HU;2006;p90p100;7327758.53097;;10078325.3115;2.0503828526;;2.0503828526;4915338.0;;;0.31235;;0.31235;;3573848.75;
;HU;2006;p90p95;;;;;;;4915338.0;;;0.09046;;0.09046;;3573848.75;
;HU;2006;p95p99;;;;;;;7097330.5;;;0.12129;;0.12129;;5160334.0;
;HU;2006;p99.5p99.9;;;;;;;21734450.0;;;0.03698;;0.03698;;15802705.0;
;HU;2006;p99.9p99.99;;;;;;;48834832.0;;;0.02189;;0.02189;;35506880.0;
;HU;2006;p99p99.5;;;;;;;15632776.0;;;0.02826;;0.02826;;11366294.0;
;HU;2006;p95p100;10411152.634;;14319110.3623;2.0175347328;;2.0175347328;7097330.5;;;0.22189;;0.22189;;5160334.0;
;HU;2006;p99.5p100;33943923.3267;;46685203.9664;2.1479818821;;2.1479818821;21734450.0;;;0.07234;;0.07234;;15802705.0;
;HU;2005;p0p100;2271233.2677;;3141402.75;;;;;19345813.4381;26757705.7802;;;;;;
;HU;2005;p99p100;22105722.6707;;30575009.1705;2.0734930038;;2.0734930038;14745653.0;;;0.09733;;0.09733;;10661103.0;
;HU;2005;p99.9p100;77197137.4259;;106773400.711;2.2994749546;;2.2994749546;46433816.0;;;0.03399;;0.03399;;33571636.0;
;HU;2005;p99.99p100;289858235.214;;400910584.641;2.3583369255;;2.3583369255;169997168.0;;;0.01276;;0.01276;;122907904.0;
;HU;2005;p90p100;6830441.83712;;9447364.59964;2.0714609623;;2.0714609623;4560725.5;;;0.30074;;0.30074;;3297403.25;
;HU;2005;p90p95;;;;;;;4560725.5;;;0.08658;;0.08658;;3297403.25;
;HU;2005;p95p99;;;;;;;6627954.5;;;0.11683;;0.11683;;4792009.0;
;HU;2005;p99.5p99.9;;;;;;;20565066.0;;;0.03603;;0.03603;;14868537.0;
;HU;2005;p99.9p99.99;;;;;;;46433816.0;;;0.02123;;0.02123;;33571636.0;
;HU;2005;p99p99.5;;;;;;;14745653.0;;;0.02731;;0.02731;;10661103.0;
;HU;2005;p95p100;9728268.98538;;13455425.9036;2.0301024914;;2.030102253;6627954.5;;;0.21416;;0.21416;;4792009.0;
;HU;2005;p99.5p100;31804110.0047;;43989104.9725;2.1390209198;;2.1390209198;20565066.0;;;0.07002;;0.07002;;14868537.0;
;HU;2004;p0p100;2172657.01064;;3054267.25;;;;;18490325.6029;25993240.3754;;;;;;
;HU;2004;p99p100;19121925.4273;;26881127.7177;1.9337342978;;1.933734417;13901148.0;;;0.08801;;0.08801;;9888600.0;
;HU;2004;p99.9p100;61645541.2856;;86659770.4725;2.135607481;;2.135607481;40578512.0;;;0.02837;;0.02837;;28865578.0;
;HU;2004;p99.99p100;207533434.637;;291745346.637;2.0999150276;;2.099915266;138931968.0;;;0.00955;;0.00955;;98829440.0;
;HU;2004;p90p100;6282461.68305;;8831728.55815;1.9796785116;;1.9796783924;4461193.5;;;0.28916;;0.28916;;3173475.75;
;HU;2004;p90p95;;;;;;;4461193.5;;;0.08624;;0.08624;;3173475.75;
;HU;2004;p95p99;;;;;;;6384078.0;;;0.11491;;0.11491;;4541322.0;
;HU;2004;p99.5p99.9;;;;;;;18995166.0;;;0.0334;;0.0334;;13512236.0;
;HU;2004;p99.9p99.99;;;;;;;40578512.0;;;0.01882;;0.01882;;28865578.0;
;HU;2004;p99p99.5;;;;;;;13901148.0;;;0.02624;;0.02624;;9888600.0;
;HU;2004;p95p100;8817384.55662;;12395260.1585;1.9415898323;;1.9415897131;6384078.0;;;0.20292;;0.20292;;4541322.0;
;HU;2004;p99.5p100;26842923.9283;;37735115.5967;1.9865641594;;1.9865641594;18995166.0;;;0.06177;;0.06177;;13512236.0;
;HU;2003;p0p100;2091345.74774;;2955513.5;;;;;17793925.8666;25146577.5918;;;;;;
;HU;2003;p99p100;18756719.7664;;26507208.8368;1.8931311369;;1.8931311369;14001782.0;;;0.08969;;0.08969;;9907776.0;
;HU;2003;p99.9p100;56639830.4163;;80044049.9206;1.9477182627;;1.9477183819;41096316.0;;;0.02708;;0.02708;;29080094.0;
;HU;2003;p99.99p100;173660352.653;;245418777.471;1.9477182627;;1.9477183819;126003216.0;;;0.0083;;0.0083;;89160920.0;
;HU;2003;p90p100;6231835.67517;;8806900.76601;1.9987695217;;1.9987696409;4406161.0;;;0.29798;;0.29798;;3117836.0;
;HU;2003;p90p95;;;;;;;4406161.0;;;0.08882;;0.08882;;3117836.0;
;HU;2003;p95p99;;;;;;;6385161.5;;;0.11947;;0.11947;;4518193.0;
;HU;2003;p99.5p99.9;;;;;;;19421326.0;;;0.03509;;0.03509;;13742691.0;
;HU;2003;p99.9p99.99;;;;;;;41096316.0;;;0.01878;;0.01878;;29080094.0;
;HU;2003;p99p99.5;;;;;;;14001782.0;;;0.02752;;0.02752;;9907776.0;
;HU;2003;p95p100;8748475.20964;;12363444.2629;1.9362773895;;1.9362775087;6385161.5;;;0.20916;;0.20916;;4518193.0;
;HU;2003;p99.5p100;26005773.9466;;36751654.3165;1.892334938;;1.892334938;19421326.0;;;0.06217;;0.06217;;13742691.0;
;HU;2002;p0p100;1950347.62587;;2795172.0;;;;;16606694.7993;23800151.1627;;;;;;
;HU;2002;p99p100;17870855.4309;;25611903.2597;1.9225404263;;1.9225404263;13321906.0;;;0.09163;;0.09163;;9295438.0;
;HU;2002;p99.9p100;52996087.5378;;75952193.3581;1.872656703;;1.872656703;40558524.0;;;0.02717;;0.02717;;28299948.0;
;HU;2002;p99.99p100;154968380.808;;222095421.953;1.872656703;;1.872656703;118599112.0;;;0.00795;;0.00795;;82753224.0;
;HU;2002;p90p100;5787354.93334;;8294240.6006;2.0345444679;;2.0345444679;4076706.5;;;0.29673;;0.29673;;2844545.75;
;HU;2002;p90p95;;;;;;;4076706.5;;;0.08663;;0.08663;;2844545.75;
;HU;2002;p95p99;;;;;;;5894455.5;;;0.11847;;0.11847;;4112890.75;
;HU;2002;p99.5p99.9;;;;;;;18638662.0;;;0.0367;;0.0367;;13005235.0;
;HU;2002;p99.9p99.99;;;;;;;40558524.0;;;0.01922;;0.01922;;28299948.0;
;HU;2002;p99p99.5;;;;;;;13321906.0;;;0.02776;;0.02776;;9295438.0;
;HU;2002;p95p100;8195330.01534;;11745268.7336;1.9925960302;;1.9925960302;5894455.5;;;0.2101;;0.2101;;4112890.75;
;HU;2002;p99.5p100;24912344.3635;;35703526.1282;1.9155627489;;1.9155627489;18638662.0;;;0.06387;;0.06387;;13005235.0;
;HU;2001;p0p100;1825489.22719;;2559666.0;;;;;15531757.6786;21778332.8754;;;;;;
;HU;2001;p99p100;17412575.8507;;24415580.0614;2.0446405411;;2.0446405411;11941258.0;;;0.09539;;0.09539;;8516204.0;
;HU;2001;p99.9p100;59123931.2448;;82902442.9944;2.2622241974;;2.2622241974;36646432.0;;;0.03239;;0.03239;;26135310.0;
;HU;2001;p99.99p100;213658641.336;;299588051.076;2.2622241974;;2.2622241974;132430752.0;;;0.0117;;0.0117;;94446272.0;
;HU;2001;p90p100;5382758.35921;;7547600.58459;2.0821993351;;2.0821993351;3624821.5;;;0.29487;;0.29487;;2585131.25;
;HU;2001;p90p95;;;;;;;3624821.5;;;0.08453;;0.08453;;2585131.25;
;HU;2001;p95p99;;;;;;;5310569.5;;;0.11495;;0.11495;;3787364.25;
;HU;2001;p99.5p99.9;;;;;;;16954006.0;;;0.0353;;0.0353;;12091170.0;
;HU;2001;p99.9p99.99;;;;;;;36646432.0;;;0.02069;;0.02069;;26135310.0;
;HU;2001;p99p99.5;;;;;;;11941258.0;;;0.0277;;0.0277;;8516204.0;
;HU;2001;p95p100;7679434.91067;;10767956.4181;2.0276463032;;2.0276463032;5310569.5;;;0.21034;;0.21034;;3787364.25;
;HU;2001;p99.5p100;24711856.359;;34650491.264;2.0437936783;;2.0437936783;16954006.0;;;0.06769;;0.06769;;12091170.0;
;HU;2000;p0p100;1764783.00106;;2439494.75;;;;;14693624.39;20311290.1339;;;;;;
;HU;2000;p99p100;15826562.7835;;21877373.4774;1.9359861612;;1.9359861612;11300377.0;;;0.08968;;0.08968;;8174936.0;
;HU;2000;p99.9p100;47551492.4198;;65731376.6299;1.9181367159;;1.9181367159;34268348.0;;;0.02694;;0.02694;;24790460.0;
;HU;2000;p99.99p100;143161055.289;;197894382.806;1.9181367159;;1.9181367159;103170112.0;;;0.00811;;0.00811;;74635480.0;
;HU;2000;p90p100;5012199.96952;;6928464.01185;2.0398526192;;2.0398526192;3396551.25;;;0.28401;;0.28401;;2457138.25;
;HU;2000;p90p95;;;;;;;3396551.25;;;0.08268;;0.08268;;2457138.25;
;HU;2000;p95p99;;;;;;;4917388.5;;;0.11165;;0.11165;;3557344.75;
;HU;2000;p99.5p99.9;;;;;;;15899115.0;;;0.03542;;0.03542;;11501762.0;
;HU;2000;p99.9p99.99;;;;;;;34268348.0;;;0.01883;;0.01883;;24790460.0;
;HU;2000;p99p99.5;;;;;;;11300377.0;;;0.02732;;0.02732;;8174936.0;
;HU;2000;p95p100;7105994.08261;;9822757.38583;1.9975556135;;1.9975557327;4917388.5;;;0.20133;;0.20133;;3557344.75;
;HU;2000;p99.5p100;22010127.4611;;30425038.2942;1.9136309624;;1.9136309624;15899115.0;;;0.06236;;0.06236;;11501762.0;
;HU;1999;p0p100;1691849.05431;;2310995.0;;;;;14122326.0933;19290506.3882;;;;;;
;HU;1999;p99p100;14542414.8417;;19864330.0367;1.8832219839;;1.8832218647;10548056.0;;;0.08596;;0.08596;;7722093.0;
;HU;1999;p99.9p100;42011794.6242;;57386353.1563;1.8394516706;;1.8394515514;31197534.0;;;0.02483;;0.02483;;22839304.0;
;HU;1999;p99.99p100;120151978.377;;164122573.797;1.8394515514;;1.8394515514;89223648.0;;;0.0071;;0.0071;;65319460.0;
;HU;1999;p90p100;4795033.26119;;6549814.75046;2.0079507828;;2.0079507828;3261939.75;;;0.28342;;0.28342;;2388023.25;
;HU;1999;p90p95;;;;;;;3261939.75;;;0.08393;;0.08393;;2388023.25;
;HU;1999;p95p99;;;;;;;4702265.0;;;0.11353;;0.11353;;3442466.25;
;HU;1999;p99.5p99.9;;;;;;;14904020.0;;;0.03467;;0.03467;;10911037.0;
;HU;1999;p99.9p99.99;;;;;;;31197534.0;;;0.01773;;0.01773;;22839304.0;
;HU;1999;p99p99.5;;;;;;;10548056.0;;;0.02646;;0.02646;;7722093.0;
;HU;1999;p95p100;6750187.88407;;9220474.13712;1.9608581066;;1.9608579874;4702265.0;;;0.19949;;0.19949;;3442466.25;
;HU;1999;p99.5p100;20134633.3171;;27503066.4256;1.8453454971;;1.8453454971;14904020.0;;;0.0595;;0.0595;;10911037.0;
;HU;1998;p0p100;1657813.32672;;2285684.0;;;;;13865359.3658;19116645.732;;;;;;
;HU;1998;p99p100;13588058.7976;;18734321.9434;1.8563600779;;1.8563599586;10091966.0;;;0.08196;;0.08196;;7319732.5;
;HU;1998;p99.9p100;40222870.0383;;55456648.2237;1.8991590738;;1.8991590738;29200634.0;;;0.02426;;0.02426;;21179306.0;
;HU;1998;p99.99p100;119653170.646;;164969923.506;1.8991589546;;1.8991590738;86864720.0;;;0.00722;;0.00722;;63003240.0;
;HU;1998;p90p100;4466185.65799;;6157683.09674;2.0067901611;;2.0067901611;3068424.0;;;0.2694;;0.2694;;2225537.0;
;HU;1998;p90p95;;;;;;;3068424.0;;;0.07971;;0.07971;;2225537.0;
;HU;1998;p95p99;;;;;;;4428417.0;;;0.10773;;0.10773;;3211943.75;
;HU;1998;p99.5p99.9;;;;;;;13697898.0;;;0.03237;;0.03237;;9935126.0;
;HU;1998;p99.9p99.99;;;;;;;29200634.0;;;0.01704;;0.01704;;21179306.0;
;HU;1998;p99p99.5;;;;;;;10091966.0;;;0.02533;;0.02533;;7319732.5;
