Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
;ZM;1970;p99.9p99.95;339770.28125;;507632.34375;;;;678742.1875;;;0.0091824625;0.0091824625;454298.125
;ZM;1970;p99.5p100;268669.59375;;;;1.1438111067;;350936.15625;;;0.0726145655;0.0726145655;234889.828125
;ZM;1970;p99.75p100;345192.90625;;515734.0;;;;;;;0.0466483943;0.0466483943;
;ZM;1970;p99.95p100;593604.0;;886871.5;;1.0369348526;1.0369347334;855281.875;;;0.0160443578;0.0160443578;572460.25
;ZM;1969;p0p100;18223.6425781;27332.0625;27121.5878906;40677.3203125;;;;40583585792.0;60399079424.0;;;
;ZM;1968;p0p100;18494.5898438;27710.1933594;28144.359375;42168.3085938;;;;40129994752.0;61068288000.0;;;
;ZM;1968;p99.9p100;626107.0625;;952785.75;;1.4419544935;1.4419543743;660760.0;;;0.0338530876;0.0338530876;434207.25
;ZM;1968;p99.99p100;1627338.375;;2476421.25;;1.0883709192;1.0883709192;2275346.75;;;0.0088004563;0.0088004563;1495205.75
;ZM;1968;p99.95p99.99;673615.8125;;1025082.75;;;;1050688.0;;;0.0145691726;0.0145691726;690441.875
;ZM;1968;p99.9p99.95;387802.6875;;590143.25;;;;660760.0;;;0.0104834596;0.0104834596;434207.25
;ZM;1968;p99.9p99.99;514837.0625;;783459.3125;;;;660760.0;;;0.0250526313;0.0250526313;434207.25
;ZM;1968;p99.75p100;373532.21875;;568427.0;;;;;;;0.0504920408;0.0504920408;
;ZM;1968;p99.95p100;864383.0625;;1315385.0;;1.2519273758;1.2519273758;1050688.0;;;0.0233696289;0.0233696289;690441.875
;ZM;1968;p99.995p100;2096029.5;;3189657.5;;;;;;;0.0056675416;0.0056675416;
;ZM;1967;p0p100;18677.6347656;27956.0996094;28650.71875;42883.4960938;;;;39505674240.0;60600070144.0;;;
;ZM;1966;p0p100;17623.953125;26352.3945312;27168.8671875;40624.5234375;;;;36337623040.0;56017629184.0;;;
;ZM;1965;p0p100;19135.6835938;28584.1347656;29850.8652344;44590.0546875;;;;38492651520.0;60046921728.0;;;
;ZM;1964;p0p100;15551.9755859;23216.7792969;26114.5292969;38985.09375;;;;30516932608.0;51243347968.0;;;
;ZM;1963;p0p100;14659.2275391;21870.7480469;23828.4882812;35550.7734375;;;;28072429568.0;45631569920.0;;;
;ZM;1963;p99.9p100;491008.40625;;798131.3125;;0.9293875694;0.9293875098;858771.25;;;0.0334944017;0.0334944017;528313.9375
;ZM;1963;p99.99p100;910745.3125;;1480411.125;;0.908634007;0.908634007;1629271.125;;;0.0062138089;0.0062138089;1002323.625
;ZM;1963;p99.5p99.9;256992.65625;;417740.03125;;;;414064.78125;;;0.0701246113;0.0701246113;254731.640625
;ZM;1963;p99.95p99.99;515049.0625;;837209.1875;;;;1030848.8125;;;0.0140541587;0.0140541587;634175.6875
;ZM;1963;p99.9p99.95;387806.78125;;630377.625;;;;858771.25;;;0.0132264355;0.0132264355;528313.9375
;ZM;1963;p99.9p99.99;444361.71875;;722307.375;;;;858771.25;;;0.0272805933;0.0272805933;528313.9375
;ZM;1963;p99.5p100;303794.96875;;;;1.1926078796;;414064.78125;;;0.1036190167;0.1036190167;254731.640625
;ZM;1963;p99.75p100;381662.03125;;620389.375;;;;;;;0.0650889799;0.0650889799;
;ZM;1963;p99.95p100;594197.75;;965864.9375;;0.9369608164;0.9369608164;1030848.8125;;;0.0202679671;0.0202679671;634175.6875
;ZM;1963;p99.995p100;1074735.25;;1746975.75;;;;;;;0.0036663376;0.0036663376;
;ZM;1962;p0p100;14294.4082031;21313.5449219;23805.0820312;35494.3476562;;;;26727833600.0;44510990336.0;;;
;ZM;1961;p0p100;15290.4277344;22784.8867188;25292.0039062;37688.6445312;;;;27922538496.0;46186864640.0;;;
;ZM;1960;p0p100;15365.0947266;22882.3730469;25710.0371094;38288.515625;;;;27394648064.0;45838794752.0;;;
;ZM;1959;p0p100;14507.4384766;21595.8886719;24574.8242188;36582.28125;;;;25243705344.0;42761486336.0;;;
;ZM;1958;p0p100;14536.4404297;21629.8417969;20655.6855469;30735.1171875;;;;24685942784.0;35077709824.0;;;
;ZM;1958;p99p100;337189.875;;479133.0;;1.0560810566;1.0560810566;453689.59375;;;0.2319615781;0.2319615781;319284.09375
;ZM;1958;p99.9p100;670798.5625;;953177.1875;;0.998482883;0.9984829426;954625.4375;;;0.0461454019;0.0461454019;671817.75
;ZM;1958;p99.99p100;1491785.125;;2119765.25;;1.0392619371;1.0392619371;2039683.375;;;0.0102640847;0.0102640847;1435427.375
;ZM;1958;p99.5p99.9;351957.46875;;500117.09375;;;;618611.375;;;0.0968485177;0.0968485177;435347.8125
;ZM;1958;p99.95p99.99;687180.4375;;976455.1875;;;;1173340.5;;;0.0189095009;0.0189095009;825738.5
;ZM;1958;p99.9p99.95;493455.375;;701179.875;;;;954625.4375;;;0.0169718172;0.0169718172;671817.75
;ZM;1958;p99.9p99.99;579559.6875;;823530.5625;;;;954625.4375;;;0.0358813182;0.0358813182;671817.75
;ZM;1958;p99p99.5;258654.859375;;367537.9375;;;;453689.59375;;;0.0889676586;0.0889676586;319284.09375
;ZM;1958;p99.5p100;415724.5;;;;0.9549250007;;618611.375;;;0.142993927;0.142993927;435347.8125
;ZM;1958;p99.75p100;506694.65625;;719992.3125;;;;;;;0.0871420652;0.0871420652;
;ZM;1958;p99.95p100;848120.5625;;1205144.5;;1.0271054506;1.0271055698;1173340.5;;;0.0291735865;0.0291735865;825738.5
;ZM;1958;p99.995p100;1901658.625;;2702178.75;;;;;;;0.0065420903;0.0065420903;
;ZM;1957;p0p100;15791.3320312;23487.0976562;22002.2949219;32724.9179688;;;;26163757056.0;36454346752.0;;;
;ZM;1957;p99p100;373882.40625;;520935.84375;;1.0195119381;1.0195119381;510965.9375;;;0.2367641032;0.2367641032;366726.875
;ZM;1957;p99.9p100;789346.625;;1099808.25;;1.0644019842;1.0644019842;1033263.9375;;;0.0499854274;0.0499854274;741586.9375
;ZM;1957;p99.99p100;1892175.375;;2636395.75;;1.0856814384;1.0856814384;2428332.75;;;0.0119843557;0.0119843557;1742845.875
;ZM;1957;p99.5p99.9;381006.25;;530861.5625;;;;667689.375;;;0.0965104178;0.0965104178;479209.3125
;ZM;1957;p99.95p99.99;815957.5625;;1136885.75;;;;1308627.125;;;0.0206688438;0.0206688438;939218.6875
;ZM;1957;p99.9p99.95;547437.625;;762752.875;;;;1033263.9375;;;0.0173322279;0.0173322279;741586.9375
;ZM;1957;p99.9p99.99;666785.75;;929042.375;;;;1033263.9375;;;0.0380010717;0.0380010717;741586.9375
;ZM;1957;p99p99.5;285091.46875;;397222.15625;;;;510965.9375;;;0.0902682617;0.0902682617;366726.875
;ZM;1957;p99.5p100;462672.90625;;;;0.9654923081;;667689.375;;;0.1464958489;0.1464958489;479209.3125
;ZM;1957;p99.75p100;574598.875;;800597.0625;;;;;;;0.0909673646;0.0909673646;
;ZM;1957;p99.95p100;1031226.8125;;1436823.5;;1.0979623795;1.0979624987;1308627.125;;;0.0326531976;0.0326531976;939218.6875
;ZM;1957;p99.995p100;2457279.75;;3423764.0;;;;;;;0.0077817617;0.0077817617;
;ZM;1956;p0p100;19629.1464844;29182.8515625;21678.7363281;32229.9980469;;;;31741306880.0;35055595520.0;;;
;ZM;1956;p99p100;431768.375;;476851.78125;;1.0352287292;1.0352287292;460624.5625;;;0.2199626863;0.2199626863;417075.34375
;ZM;1956;p99.9p100;917363.0;;1013150.125;;1.0634987354;1.0634987354;952657.5625;;;0.0467341393;0.0467341393;862589.6875
;ZM;1956;p99.99p100;2337416.0;;2581478.75;;1.2095534801;1.2095533609;2134241.25;;;0.0119098602;0.0119098602;1932461.875
;ZM;1956;p99.5p99.9;438331.875;;484100.59375;;;;605748.5625;;;0.0893228427;0.0893228427;548478.8125
;ZM;1956;p99.95p99.99;914469.625;;1009954.5625;;;;1196836.0;;;0.0186352506;0.0186352506;1083682.5
;ZM;1956;p99.9p99.95;635599.625;;701966.25;;;;952657.5625;;;0.0161890276;0.0161890276;862589.6875
;ZM;1956;p99.9p99.99;759548.0;;838856.75;;;;952657.5625;;;0.0348242782;0.0348242782;862589.6875
;ZM;1956;p99p99.5;329399.8125;;363794.3125;;;;460624.5625;;;0.0839057118;0.0839057118;417075.34375
;ZM;1956;p99.5p100;534136.4375;;;;0.9738506675;;605748.5625;;;0.1360569745;0.1360569745;548478.8125
;ZM;1956;p99.75p100;664446.75;;733825.375;;;;;;;0.0846249387;0.0846249387;
;ZM;1956;p99.95p100;1199092.75;;1324296.875;;1.1064982414;1.1064982414;1196836.0;;;0.0305451099;0.0305451099;1083682.5
;ZM;1956;p99.995p100;3189556.5;;3522596.25;;;;;;;0.008125891;0.008125891;
;ZM;1955;p0p100;16753.6445312;24897.2695312;19756.6308594;29359.9511719;;;;26451253248.0;31192475648.0;;;
;ZM;1955;p99p100;359260.0625;;423655.21875;;1.082960844;1.082960844;391200.84375;;;0.2144367546;0.2144367546;331738.71875
;ZM;1955;p99.9p100;778915.125;;918530.875;;1.0796408653;1.0796408653;850774.5;;;0.0464916825;0.0464916825;721457.625
;ZM;1955;p99.99p100;1997018.375;;2354971.75;;1.182456851;1.182456851;1991592.0;;;0.0119218826;0.0119218826;1688872.125
;ZM;1955;p99.5p99.9;369536.53125;;435773.65625;;;;539370.9375;;;0.0882285088;0.0882285088;457387.125
;ZM;1955;p99.95p99.99;779675.8125;;919427.875;;;;1063156.875;;;0.0186153892;0.0186153892;901558.1875
;ZM;1955;p99.9p99.95;534627.8125;;630456.5;;;;850774.5;;;0.0159544107;0.0159544107;721457.625
;ZM;1955;p99.9p99.99;643543.4375;;758894.625;;;;850774.5;;;0.0345697999;0.0345697999;721457.625
;ZM;1955;p99p99.5;267108.84375;;314986.46875;;;;391200.84375;;;0.0797165632;0.0797165632;331738.71875
;ZM;1955;p99.5p100;451410.8125;;;;0.9869338274;;539370.9375;;;0.1347201914;0.1347201914;457387.125
;ZM;1955;p99.75p100;564036.0;;665135.9375;;;;;;;0.0841660872;0.0841660872;
;ZM;1955;p99.95p100;1023173.375;;1206570.875;;1.134894371;1.1348944902;1063156.875;;;0.0305372719;0.0305372719;901558.1875
;ZM;1955;p99.995p100;2674585.25;;3153988.25;;;;;;;0.0079834247;0.0079834247;
;ZM;1954;p0p100;11807.59375;17545.4570312;20959.3808594;31144.5234375;;;;18197280768.0;32301563904.0;;;
;ZM;1954;p99p100;287940.46875;;511116.3125;;1.1605457067;1.1605457067;440410.34375;;;0.2438601702;0.2438601702;248107.828125
;ZM;1954;p99.9p100;693101.4375;;1230307.875;;1.2161741257;1.2161741257;1011621.5625;;;0.0586988777;0.0586988777;569903.125
;ZM;1954;p99.99p100;1911375.0;;3392836.5;;1.1693761349;1.1693761349;2901407.5;;;0.0161903612;0.0161903612;1634525.5
;ZM;1954;p99.5p99.9;288922.125;;512858.8125;;;;622666.6875;;;0.0978769064;0.0978769064;350783.03125
;ZM;1954;p99.95p99.99;712479.3125;;1264705.125;;;;1373688.25;;;0.0241367165;0.0241367165;773875.625
;ZM;1954;p99.9p99.95;433884.90625;;770178.8125;;;;1011621.5625;;;0.0183717981;0.0183717981;569903.125
;ZM;1954;p99.9p99.99;557710.8125;;989979.25;;;;1011621.5625;;;0.0425085127;0.0425085127;569903.125
;ZM;1954;p99p99.5;206123.921875;;365885.6875;;;;440410.34375;;;0.0872843936;0.0872843936;248107.828125
;ZM;1954;p99.5p100;369756.65625;;;;1.054089427;;622666.6875;;;0.1565757841;0.1565757841;350783.03125
;ZM;1954;p99.75p100;475181.65625;;843483.6875;;;;;;;0.1006092355;0.1006092355;
;ZM;1954;p99.95p100;952287.0625;;1690382.25;;1.230542779;1.230542779;1373688.25;;;0.0403270796;0.0403270796;773875.625
;ZM;1954;p99.995p100;2545767.25;;4518931.0;;;;;;;0.0107819997;0.0107819997;
;ZM;1953;p0p100;10449.9316406;15526.6425781;20229.5957031;30057.390625;;;;15728223232.0;30447622144.0;;;
;ZM;1953;p99.9p100;662130.8125;;1281791.875;;1.22371912;1.22371912;1047455.9375;;;0.0633613914;0.0633613914;541080.6875
;ZM;1953;p99.99p100;1865685.0;;3611703.25;;1.1273450851;1.1273449659;3203725.0;;;0.0178565234;0.0178565234;1654937.0
;ZM;1953;p99.5p99.9;270178.53125;;523027.59375;;;;627732.375;;;0.1034185067;0.1034185067;324265.53125
;ZM;1953;p99.95p99.99;681203.5;;1318714.0;;;;1380000.5;;;0.0260753855;0.0260753855;712862.0625
;ZM;1953;p99.9p99.95;406103.03125;;786158.1875;;;;1047455.9375;;;0.0194294844;0.0194294844;541080.6875
;ZM;1953;p99.9p99.99;528376.0;;1022861.4375;;;;1047455.9375;;;0.0455048718;0.0455048718;541080.6875
;ZM;1953;p99.5p100;348567.71875;;;;1.0749453306;;627732.375;;;0.1667799056;0.1667799056;324265.53125
;ZM;1953;p99.75p100;451329.34375;;873710.0;;;;;;;0.1079741269;0.1079741269;
;ZM;1953;p99.95p100;918128.0625;;1777366.5;;1.2879462242;1.2879462242;1380000.5;;;0.0439319089;0.0439319089;712862.0625
;ZM;1953;p99.995p100;2475496.25;;4792211.5;;;;;;;0.0118465219;0.0118465219;
;ZM;1952;p0p100;8446.65917969;12549.0224609;19529.5976562;29014.7089844;;;;12427097088.0;28732805120.0;;;
;ZM;1952;p99.9p100;505169.96875;;1168008.125;;1.2655892372;1.2655893564;922896.625;;;0.0598063059;0.0598063059;399157.90625
;ZM;1952;p99.9p99.95;299205.09375;;691794.8125;;;;922896.625;;;0.0177101623;0.0177101623;399157.90625
;ZM;1952;p99.75p100;338970.46875;;783736.6875;;;;;;;0.1003266945;0.1003266945;
;ZM;1952;p99.95p100;711110.3125;;1644164.625;;1.403311491;1.403311491;1171632.0;;;0.0420961455;0.0420961455;506737.3125
;ZM;1951;p0p100;7444.75488281;11059.5175781;18832.7480469;27976.8925781;;;;10704987136.0;27080048640.0;;;
;ZM;1951;p99.9p100;542343.3125;;1371947.875;;1.2697644234;1.2697644234;1080474.25;;;0.0728481188;0.0728481188;427121.21875
;ZM;1951;p99.5p99.9;203411.734375;;514563.875;;;;615991.5;;;0.1092915311;0.1092915311;243506.984375
;ZM;1951;p99.9p99.95;323158.625;;817483.625;;;;1080474.25;;;0.0217022076;0.0217022076;427121.21875
;ZM;1951;p99.5p100;271197.0;;;;1.1137135029;;615991.5;;;0.18213965;0.18213965;243506.984375
;ZM;1951;p99.75p100;362879.625;;917964.4375;;;;;;;0.1218573675;0.1218573675;
;ZM;1951;p99.95p100;761501.875;;1926345.875;;1.3404519558;1.3404519558;1437086.875;;;0.0511459075;0.0511459075;568093.375
;ZM;1950;p0p100;4921.50097656;7310.45263672;18109.1796875;26899.578125;;;;6920824832.0;25465901056.0;;;
;ZM;1950;p99p100;183260.40625;;674325.875;;1.6141651869;1.6141651869;417755.1875;;;0.3723665476;0.3723665476;113532.625
;ZM;1950;p99.9p100;503005.4375;;1850861.25;;1.2973459959;1.2973459959;1426652.0;;;0.102204375;0.102204375;387718.78125
;ZM;1950;p99.5p99.9;186946.03125;;687887.5625;;;;813146.6875;;;0.1519425958;0.1519425958;220987.5
;ZM;1950;p99.9p99.95;296694.25;;1091717.625;;;;1426652.0;;;0.0301404744;0.0301404744;387718.78125
;ZM;1950;p99p99.5;116363.648438;;428172.25;;;;417755.1875;;;0.1182195619;0.1182195619;113532.625
;ZM;1950;p99.5p100;250156.921875;;;;1.1319957972;;813146.6875;;;0.2541469634;0.2541469634;220987.5
;ZM;1950;p99.75p100;333067.28125;;1225556.0;;;;;;;0.1691897213;0.1691897213;
;ZM;1950;p99.95p100;709292.0;;2609914.25;;1.3478490114;1.3478490114;1936355.125;;;0.0720639005;0.0720639005;526239.9375
;ZM;1949;p0p100;4348.21435547;6448.39892578;;;;;;5974724096.0;;;;
;ZM;1949;p99.9p100;426379.21875;;;;1.2558288574;;;;;0.0980571955;0.0980571955;339520.15625
;ZM;1949;p99.5p99.9;162060.984375;;;;;;;;;0.1490830928;0.1490830928;186611.359375
;ZM;1949;p99.9p99.95;255947.328125;;;;;;;;;0.0294291824;0.0294291824;339520.15625
;ZM;1949;p99.5p100;214923.78125;;;;1.1517186165;;;;;0.2471402884;0.2471402884;186611.359375
;ZM;1949;p99.75p100;285436.03125;;;;;;;;;0.164110899;0.164110899;
;ZM;1949;p99.95p100;596790.75;;;;1.3292962313;;;;;0.0686280131;0.0686280131;448952.4375
;ZM;1948;p0p100;3530.56738281;5227.3984375;;;;;;4736742400.0;;;;
;ZM;1948;p99.9p100;390867.40625;;;;1.2321995497;;;;;0.1107081026;0.1107081026;317211.125
;ZM;1948;p99.5p99.9;153290.734375;;;;;;;;;0.173672989;0.173672989;172311.328125
;ZM;1948;p99.9p99.95;241115.953125;;;;;;;;;0.0341444425;0.0341444425;317211.125
;ZM;1948;p99.5p100;200805.3125;;;;1.165363431;;;;;0.2843810916;0.2843810916;172311.328125
;ZM;1948;p99.75p100;264868.25;;;;;;;;;0.1875534207;0.1875534207;
;ZM;1948;p99.95p100;540601.0;;;;1.2940394878;;;;;0.0765636638;0.0765636638;417762.375
;ZM;1947;p0p100;3428.99731445;5068.90527344;;;;;;4559510528.0;;;;
;ZM;1947;p99.9p100;411543.3125;;;;1.2348252535;;;;;0.1200170219;0.1200170219;333280.625
;ZM;1947;p99.5p99.9;153611.375;;;;;;;;;0.1791913658;0.1791913658;154941.765625
;ZM;1947;p99.9p99.95;255210.390625;;;;;;;;;0.0372108631;0.0372108631;333280.625
;ZM;1947;p99.5p100;205196.953125;;;;1.3243489265;;;;;0.2992084026;0.2992084026;154941.765625
;ZM;1947;p99.75p100;277384.15625;;;;;;;;;0.2022339851;0.2022339851;
;ZM;1947;p99.95p100;567857.625;;;;1.3082890511;;;;;0.0828061551;0.0828061551;434046.0
;ZM;1946;p0p100;3620.58422852;5343.64160156;;;;;;4745043456.0;;;;
;ZM;1946;p99.9p100;445673.21875;;;;1.1971899271;;;;;0.1230927035;0.1230927035;372266.09375
;ZM;1946;p99.9p99.95;282716.40625;;;;;;;;;0.0390400998;0.0390400998;372266.09375
;ZM;1946;p99.75p100;301679.1875;;;;;;;;;0.2083081752;0.2083081752;
;ZM;1946;p99.95p100;608610.625;;;;1.244386673;;;;;0.0840526074;0.0840526074;489084.78125
;ZM;1945;p0p100;4207.24707031;6199.74658203;;;;;;5465944064.0;;;;
;ZM;1945;p99.9p100;481540.6875;;;;1.1334397793;;;;;0.1144535765;0.1144535765;424848.90625
;ZM;1945;p99.99p100;1248259.875;;;;1.1196349859;;;;;0.0296742022;0.0296742022;1114881.125
